CRN,Course #,Course Title,Units,type,Days,Time,Bldg/Rm,Start-End,Instructor
32654,CSE-030-05L,Intro to Comp Sci and Engin I,0,LAB,M,10:00-12:50pm,KOLLIG 209,18-DEC 18-DEC,"Rafay, Abdur"
30465,CSE-031-01,Intro to Comp Sci and Engin IIMust Also Register for a Corresponding Lab,4,LECT,MW,6:00-7:15pm,SCIENG 138,28-AUG 12-DEC,"Lwin, Kelvin"
30466,CSE-031-02L,Intro to Comp Sci and Engin II,0,LAB,T,8:00-10:50pm,CLSSRM 281,10-SEP 10-SEP,"Safar, Simon"
35264,CSE-107-01,Intro to Digital Image ProcessMust Also Register for a Corresponding Lab,4,LECT,TR,10:30-11:45am,SE2 130,17-SEP 24-SEP,"Newsam, Shawn"
35265,CSE-107-02L,Intro to Digital Image Process,0,LAB,W,5:00-7:50pm,CLSSRM 281,01-OCT 08-OCT,"Divecha, Mehul"
31265,CSE-111-01,Database SystemsMust Also Register for a Corresponding Lab,4,LECT,TR,3:00-4:15pm,SCIENG 100,28-AUG 12-DEC,"Rusu, Florin"
31266,CSE-111-02L,Database Systems,0,LAB,W,7:00-10:50am,SE2 130,15-OCT 12-DEC,"Zhao, Weijie"
31267,CSE-111-03L,Database Systems,0,LAB,M,6:00-9:50pm,CLSSRM 281,12-SEP 12-SEP,"Qin, Chengjie"
31204,CSE-115-01,Discrete MathematicsMust Also Register for a Corresponding Lab,4,LECT,TR,9:00-10:15am,SCIENG 138,28-AUG 12-DEC,"Leung, Chi Yan"
31205,CSE-115-02L,Discrete Mathematics,0,LAB,W,8:00-10:50am,CLSSRM 281,03-OCT 10-OCT,"Eryol, Atahan"
31438,CSE-115-03L,Discrete Mathematics,0,LAB,W,11:00-1:50pm,SCIENG 138,28-AUG 12-DEC,"Eryol, Atahan"
30524,CSE-140-01,Computer ArchitectureMust Also Register for a Corresponding Lab,4,LECT,MW,4:30-5:45pm,SE2 130,17-OCT 12-DEC,"Lwin, Kelvin"
30525,CSE-140-02L,Computer Architecture,0,LAB,M,7:00-10:50am,SSB 120,16-DEC 16-DEC,"Sen, Somak"
31065,CSE-140-03L,Computer Architecture,0,LAB,M,11:00-2:50pm,SCIENG 138,28-AUG 12-DEC,"Sen, Somak"
30522,CSE-160-01,Computer NetworksMust Also Register for a Corresponding Lab,4,LECT,TR,1:30-2:45pm,SSB 170,28-AUG 12-DEC,"Cerpa, Alberto"
30523,CSE-160-02L,Computer Networks,0,LAB,W,2:00-4:50pm,,28-AUG 12-DEC,"Beltran, Alex"
30467,CSE-175-01,Intro to Artificial IntellMust Also Register for a Corresponding Lab,4,LECT,TR,12:00-1:15pm,SCIENG 138,28-AUG 12-DEC,"Noelle, David"
30468,CSE-175-02L,Intro to Artificial Intell,0,LAB,F,8:00-10:50am,SCIENG 100,28-AUG 12-DEC,"Kyrilov, Angelo"
30575,CSE-175-03L,Intro to Artificial Intell,0,LAB,F,2:00-4:50pm,KOLLIG 208,15-DEC 15-DEC,"Rodny, Jeffrey"
34890,CSE-175-04L,Intro to Artificial Intell,0,LAB,F,5:00-7:50pm,CLSSRM 113,28-AUG 12-DEC,"Rodny, Jeffrey"
31277,CSE-178-01,Comp. Ntwk SecurityMust Also Register for a Corresponding Lab,4,LECT,TR,10:30-11:45am,CLSSRM 265,13-DEC 13-DEC,"Singhal, Mukesh"
31297,CSE-178-02L,Comp. Ntwk Security,0,LAB,F,8:00-10:50am,SSM 154,28-AUG 12-DEC,"Naghshnejad, Mina"
30367,ECON-001-01,Introduction to Economics,4,LECT,TR,6:00-7:50pm,CLSSRM 288,28-AUG 12-DEC,"Lee, Jason"
35107,ECON-005-01,Intro to Business & Finance,4,LECT,TR,6:00-7:50pm,,28-AUG 12-DEC,"Harris, Mark"
30372,ECON-010-01,Statistical InferenceMust Also Register for a Corresponding Lab,4,LECT,MWF,9:30-10:20am,CLSSRM 279,15-DEC 15-DEC,"Sandoval-Hernandez, Jesus"
30373,ECON-010-02L,Statistical Inference,0,LAB,M,1:30-2:20pm,SSM 154,28-AUG 12-DEC,"Sandoval-Hernandez, Jesus"
30374,ECON-010-03L,Statistical Inference,0,LAB,W,12:30-1:20pm,SSB 170,28-AUG 12-DEC,"Sandoval-Hernandez, Jesus"
31018,ECON-010-04L,Statistical Inference,0,LAB,W,3:30-4:20pm,CLSSRM 263,17-DEC 17-DEC,"Sandoval-Hernandez, Jesus"
35109,ECON-028-01,Intermed Financial Accounting,4,LECT,TR,3:30-5:20pm,CLSSRM 263,16-DEC 16-DEC,"Vilhauer, Craig"
30368,ECON-100-01,Interm Microeconomic TheoryMust Also Register for a Corresponding Discussion,4,LECT,MWF,2:30-3:20pm,,28-AUG 12-DEC,"Hicks, Justin"
30369,ECON-100-02D,Interm Microeconomic Theory,0,DISC,F,12:30-1:20pm,SCIENG 100,28-AUG 12-DEC,"Hicks, Justin"
30370,ECON-100-03D,Interm Microeconomic Theory,0,DISC,F,9:30-10:20am,SCIENG 100,28-AUG 12-DEC,"Hicks, Justin"
30371,ECON-100-04D,Interm Microeconomic Theory,0,DISC,F,11:30-12:20pm,CLSSRM 113,28-AUG 12-DEC,"Hicks, Justin"
31487,ECON-100-05,Interm Microeconomic Theory,4,LECT,MW,4:30-5:45pm,SCIENG 138,28-AUG 12-DEC,"Seltzer, Steven"
31488,ECON-100-06D,Interm Microeconomic Theory,0,DISC,R,12:00-12:50pm,SSM 104,19-DEC 19-DEC,"Murugesan, Anand"
31489,ECON-100-07D,Interm Microeconomic Theory,0,DISC,R,3:00-3:50pm,,28-AUG 12-DEC,"Murugesan, Anand"
31064,ECON-101-01,Interm Macroecon TheoryMust Also Register for a Corresponding Lab,4,LECT,TR,7:30-8:45am,CLSSRM 114,13-DEC 13-DEC,"Gawn, Glynis"
31490,ECON-101-02D,Interm Macroecon Theory,0,DISC,M,12:30-1:20pm,SCIENG 100,28-AUG 12-DEC,"Gawn, Glynis"
31491,ECON-101-03D,Interm Macroecon Theory,0,DISC,M,1:30-2:20pm,SSM 100,16-DEC 16-DEC,"Gawn, Glynis"
31492,ECON-101-04D,Interm Macroecon Theory,0,DISC,M,3:30-4:20pm,SCIENG 100,28-AUG 12-DEC,"Gawn, Glynis"
31493,ECON-115-01,Industrial Organization,4,LECT,W,6:00-8:45pm,SSM 154,15-DEC 15-DEC,"Seltzer, Steven"
35001,ECON-120-01,Environmental Economics,4,LECT,TR,9:00-10:15am,CLSSRM 113,18-DEC 18-DEC,"Schnier, Kurt"
35096,ECON-121-01,Money & Banking,4,LECT,MWF,4:30-5:20pm,KOLLIG 217,17-DEC 17-DEC,"Hicks, Justin"
30354,ECON-130-01,EconometricsMust Also Register for a Corresponding Lab,4,LECT,TR,10:30-11:45am,SCIENG 138,28-AUG 12-DEC,"Innes, Robert"
30355,ECON-130-02L,Econometrics,0,LAB,R,6:30-7:20pm,CLSSRM 105,15-DEC 15-DEC,"Murugesan, Anand"
30356,ECON-130-03L,Econometrics,0,LAB,R,7:30-8:20pm,CLSSRM 105,28-AUG 12-DEC,"Murugesan, Anand"
35002,ECON-145-01,Health Economics,4,LECT,TR,3:00-4:15pm,SSB 120,28-AUG 12-DEC,"Schnier, Kurt"
31236,ECON-150-01,Economic Development,4,LECT,TR,7:30-8:45am,CLSSRM 265,19-DEC 19-DEC,"Sheth, Ketki"
31019,ECON-162-01,Corporate Finance,4,LECT,TR,3:00-4:15pm,SSM 154,28-AUG 12-DEC,"Innes, Robert"
35003,ECON-162-02,Corporate Finance,4,LECT,MWF,11:30-12:20pm,SSB 120,16-DEC 16-DEC,"Sandoval-Hernandez, Jesus"
35004,ECON-163-01,Economics of Investments,4,LECT,TR,12:00-1:15pm,CLSSRM 288,28-AUG 12-DEC,"Lee, Jason"
35136,ECON-190-01,Economics of Regulation,4,SEM,M,6:00-8:45pm,CLSSRM 288,28-AUG 12-DEC,"Seltzer, Steven"
34894,EECS-260-01,OptimizationMust Also Register for a Corresponding Lab,4,LECT,TR,1:30-2:45pm,CLSSRM 286,28-AUG 12-DEC,"Carreira-Perpinan, Miguel"
34895,EECS-260-02L,Optimization,0,LAB,M,1:00-3:50pm,KOLLIG 217,28-AUG 12-DEC,"Carreira-Perpinan, Miguel"
35168,EECS-272-01,Program Verif & Model CheckingMust Also Register for a Corresponding Lab,4,LECT,TR,10:30-11:45am,CLSSRM 114,13-DEC 13-DEC,"Carpin, Stefano"
35169,EECS-272-02L,Program Verif & Model Checking,0,LAB,T,6:00-8:50pm,CLSSRM 129,28-AUG 12-DEC,"Carpin, Stefano"
35153,EECS-279-01,Approximation Algorithms,4,LECT,TR,3:00-4:15pm,SSB 120,28-AUG 12-DEC,"Im, Sungjin"
35245,EECS-286-01,Adv Top in Computer Vision,4,LECT,W,1:00-4:50pm,SSM 104,19-DEC 19-DEC,"Yang, Ming-Hsuan"
30469,EECS-290-01,EECS Seminar,1,LECT,F,12:00-1:20pm,CLSSRM 279,28-AUG 12-DEC,"Im, Sungjin"
35221,ENG-017-01,Why Harry Potter? Why Lit?Must Also Register for a Corresponding Discussion,4,LECT,MW,12:00-1:15pm,CLSSRM 267,28-AUG 12-DEC,"Camfield, Gregg"
35222,ENG-017-02D,Why Harry Potter? Why Lit?,0,DISC,M,1:30-2:20pm,CLSSRM 265,28-AUG 12-DEC,"Jackson, Trevor"
35223,ENG-017-03D,Why Harry Potter? Why Lit?,0,DISC,M,3:30-4:20pm,SSM 104,28-AUG 12-DEC,"Jackson, Trevor"
31563,ENG-032-01,Intro to Chicano/a CultureMust Also Register for a Corresponding Discussion,4,LECT,TR,10:30-11:45am,SSM 116,13-DEC 13-DEC,"Ruiz, Iris"
31566,ENG-032-02D,Intro to Chicano/a Culture,0,DISC,F,4:30-5:20pm,SSM 116,16-DEC 16-DEC,"McMillon, Kim"
31569,ENG-032-03D,Intro to Chicano/a Culture,0,DISC,F,10:30-11:20am,KOLLIG 202,28-AUG 12-DEC,"McMillon, Kim"
35005,ENG-056-01,Introduction to World Drama,4,LECT,TR,3:30-5:20pm,CLSSRM 110,28-AUG 12-DEC,"Hakala, Taryn"
31544,ENG-062-01,Literature and Gender,4,SEM,MW,5:30-7:20pm,CLSSRM 272,28-AUG 12-DEC,"Hakala, Taryn"
31545,ENG-100-01,Engaging Texts,4,LECT,TR,9:00-10:15am,CLSSRM 265,28-AUG 12-DEC,"Hakala, Taryn"
31549,ENG-101-01,Medieval & Renaissance LitMust Also Register for a Corresponding Discussion,4,LECT,MWF,9:30-10:20am,CLSSRM 263,28-AUG 12-DEC,"Brokaw, Katherine"
31589,ENG-101-02D,Medieval & Renaissance Lit,0,DISC,W,10:30-11:20am,CLSSRM 262,28-AUG 12-DEC,"Shaw, Marilee"
31590,ENG-101-03D,Medieval & Renaissance Lit,0,DISC,W,8:30-9:20am,KOLLIG 217,13-DEC 13-DEC,"Shaw, Marilee"
31547,ENG-103-01,Victorian & Early 20th CenturyMust Also Register for a Corresponding Discussion,4,LECT,MWF,10:30-11:20am,SCIENG 100,28-AUG 12-DEC,"Goggans, Jan"
31595,ENG-103-02D,Victorian & Early 20th Century,0,DISC,R,11:00-11:50am,CLSSRM 279,17-DEC 17-DEC,"Armstrong, Jasmine"
31596,ENG-103-03D,Victorian & Early 20th Century,0,DISC,R,4:00-4:50pm,SCIENG 100,28-AUG 12-DEC,"Armstrong, Jasmine"
35008,ENG-129-01,Changing Minds in Late Vic Lit,4,SEM,TR,1:30-2:45pm,KOLLIG 396,28-AUG 12-DEC,"Kaiser, Matthew"
35220,ENG-155-01,Morrison and Baldwin,4,SEM,TR,12:00-1:15pm,CLSSRM 279,18-DEC 18-DEC,"Hatton, Nigel"
31550,ENG-190-01,Senior Thesis,4,LECT,F,1:00-3:45pm,CLSSRM 286,15-DEC 15-DEC,"Goggans, Jan"
31058,ENGR-045-01,Introduction to MaterialsMust Also Register for a Corresponding Lab,4,LECT,TR,12:00-1:15pm,CLSSRM 274,28-AUG 12-DEC,"Gargova, Svetla"
31059,ENGR-045-02L,Introduction to Materials,0,LAB,M,8:00-10:50am,CLSSRM 272,16-DEC 16-DEC,"Tefera, Anley"
31060,ENGR-045-03L,Introduction to Materials,0,LAB,T,7:30-10:20am,KOLLIG 217,28-AUG 12-DEC,"Tefera, Anley"
31061,ENGR-045-04L,Introduction to Materials,0,LAB,W,8:00-10:50am,CLSSRM 288,15-DEC 15-DEC,"Chen, Xi"
31206,ENGR-045-05L,Introduction to Materials,0,LAB,R,7:30-10:20am,CLSSRM 282,28-AUG 12-DEC,"Larner, Max"
35185,ENGR-045-06L,Introduction to Materials,0,LAB,F,8:00-10:50am,CLSSRM 276,28-AUG 12-DEC,"Chen, Xi"
30470,ENGR-057-01,Statics and DynamicsMust Also Register for a Corresponding Discussion,4,LECT,TR,10:30-11:45am,CLSSRM 209,15-DEC 15-DEC,"Rice, Robert"
31062,ENGR-057-02D,Statics and Dynamics,0,DISC,W,1:30-2:20pm,CLSSRM 272,28-AUG 12-DEC,"Johnson, Duval"
31063,ENGR-057-03D,Statics and Dynamics,0,DISC,W,2:30-3:20pm,SSB 120,16-DEC 16-DEC,"Rafati Heravi, Jacob"
33851,ENGR-057-04D,Statics and Dynamics,0,DISC,W,12:30-1:20pm,SSB 120,16-DEC 16-DEC,"Chen, Yen-Chang"
30471,ENGR-065-01,Circuit TheoryMust Also Register for a Corresponding Lab,3,LECT,MW,10:00-10:50am,SSM 102,19-DEC 19-DEC,"Dou, Huifang"
31285,ENGR-065-02L,Circuit Theory,0,LAB,T,9:00-11:50am,KOLLIG 396,13-DEC 13-DEC,"Zhao, Yue"
31286,ENGR-065-03L,Circuit Theory,0,LAB,T,1:30-4:20pm,CLSSRM 120,16-DEC 16-DEC,"Zhao, Yue"
31471,ENGR-065-04L,Circuit Theory,0,LAB,R,9:00-11:50am,CLSSRM 265,28-AUG 12-DEC,"Zhang, Kun"
34900,ENGR-065-05L,Circuit Theory,0,LAB,R,1:00-3:50pm,CLSSRM 116,16-DEC 16-DEC,"Zhang, Kun"
30484,ENGR-097-01,Engr Service LearningMust Also Register for Corresponding Field Work,0,LECT,M,8:30-9:20am,CLSSRM 264,28-AUG 12-DEC,"Butler, Christopher"
30485,ENGR-097-02F,NISE Net,1,FLDW,R,8:30-10:20am,CLSSRM 105,16-DEC 16-DEC,"Leppert, Valerie"
30486,ENGR-097-03F,Get S.E.T,1,FLDW,R,4:30-6:20pm,CLSSRM 209,28-AUG 12-DEC,"Viney, Christopher"
30487,ENGR-097-04F,Vernal Pool Reserve (VPR),1,FLDW,R,2:30-4:20pm,CLSSRM 129,28-AUG 12-DEC,"Conklin, Martha"
31444,ENGR-097-05F,San Joaquin River (SJR),1,FLDW,R,10:30-12:20pm,CLSSRM 272,28-AUG 12-DEC,"Harmon, Tom"
34310,ENGR-097-06F,Engineer for Sustainable World,1,FLDW,M,8:00-9:50pm,CLSSRM 105,16-DEC 16-DEC,"Campbell, Elliott"
34901,ENGR-097-07F,Unmanned Aerial Vehicle Team,1,FLDW,T,2:00-3:50pm,SSB 110,28-AUG 12-DEC,"Chen, YangQuan"
34902,ENGR-097-08F,Community Developmnt Analytics,1,FLDW,M,12:00-1:50pm,CLSSRM 116,16-DEC 16-DEC,"Whalley, Alexander"
35336,ENGR-097-09F,Instructional Lab 1,1,FLDW,T,4:00-5:50pm,CLSSRM 105,28-AUG 12-DEC,"Goyal, Sachin"
35340,ENGR-097-10F,Merit Partners,1,FLDW,F,3:00-4:50pm,CLSSRM 102,16-DEC 16-DEC,"Golash-Boza, Tanya"
35342,ENGR-097-11F,Instructional Lab 2,1,FLDW,R,12:30-2:20pm,SE2 160,28-AUG 12-DEC,"Diaz, Gerardo"
31207,ENGR-120-01,Fluid MechanicsMust Also Register for a Corresponding Lab,4,LECT,TR,9:00-10:15am,CLSSRM 105,16-DEC 16-DEC,"Rice, Robert"
31208,ENGR-120-02L,Fluid Mechanics,0,LAB,M,8:00-10:50am,CLSSRM 116,16-DEC 16-DEC,"Munoz Hernandez, Andres"
31209,ENGR-120-03L,Fluid Mechanics,0,LAB,M,1:00-3:50pm,SE2 160,28-AUG 12-DEC,"Munoz Hernandez, Andres"
31210,ENGR-120-04L,Fluid Mechanics,0,LAB,W,8:00-10:50am,CLSSRM 102,16-DEC 16-DEC,"Munoz Hernandez, Andres"
31211,ENGR-120-05L,Fluid Mechanics,0,LAB,F,8:00-10:50am,SE2 160,28-AUG 12-DEC,"Lan, Chuanjin"
34903,ENGR-120-06L,Fluid Mechanics,0,LAB,F,1:00-3:50pm,CLSSRM 113,28-AUG 12-DEC,"Lan, Chuanjin"
34904,ENGR-120-07L,Fluid Mechanics,0,LAB,R,10:30-1:20pm,CLSSRM 105,16-DEC 16-DEC,"Lan, Chuanjin"
30472,ENGR-130-01,Thermodynamics,3,LECT,TR,3:00-4:15pm,CLSSRM 102,16-DEC 16-DEC,"Lee, Min Hwan"
30473,ENGR-135-01,Heat TransferMust Also Register for a Corresponding Lab,4,LECT,TR,9:00-10:15am,CLSSRM 116,16-DEC 16-DEC,"Diaz, Gerardo"
30475,ENGR-135-03L,Heat Transfer,0,LAB,M,1:00-3:50pm,CLSSRM 120,16-DEC 16-DEC,"Ren, Tao"
30585,ENGR-135-05L,Heat Transfer,0,LAB,W,1:00-3:50pm,SSB 130,28-AUG 12-DEC,"Ren, Tao"
34905,ENGR-135-07L,Heat Transfer,0,LAB,F,1:30-4:20pm,SCIENG 172,28-AUG 12-DEC,"Ren, Tao"
30477,ENGR-151-01,Strength of MaterialsMust Also Register for a Corresponding Lab,4,LECT,TR,1:30-2:45pm,SCIENG 172,28-AUG 12-DEC,"Gargova, Svetla"
30478,ENGR-151-02L,Strength of Materials,0,LAB,M,1:00-3:50pm,CLSSRM 120,16-DEC 16-DEC,"Larner, Max"
31212,ENGR-151-03L,Strength of Materials,0,LAB,W,1:00-3:50pm,CLSSRM 116,16-DEC 16-DEC,"Karimaghaloo, Alireza"
34906,ENGR-151-04L,Strength of Materials,0,LAB,F,2:00-4:50pm,CLSSRM 102,16-DEC 16-DEC,"Karimaghaloo, Alireza"
30479,ENGR-155-01,Engineering Economic Analysis,3,LECT,TR,9:00-10:15am,CLSSRM 105,16-DEC 16-DEC,"Chen, Yihsu"
31261,ENGR-160-01,Discrete MathematicsMust Also Register for a Corresponding Lab,4,LECT,TR,9:00-10:15am,SCIENG 160,28-AUG 12-DEC,"Leung, Chi Yan"
31262,ENGR-160-02L,Discrete Mathematics,0,LAB,W,8:00-10:50am,CLSSRM 102,18-DEC 18-DEC,"Eryol, Atahan"
31445,ENGR-160-03L,Discrete Mathematics,0,LAB,W,11:00-1:50pm,CLSSRM 105,18-DEC 18-DEC,"Eryol, Atahan"
31009,ENGR-166-01,Analog and Digital Electronics,3,LECT,T,6:00-8:50pm,SCIENG 160,28-AUG 12-DEC,"Kim, Young Wook"
30480,ENGR-180-01,Spatial Analysis and ModelingMust Also Register for a Corresponding Lab,4,LECT,TR,12:00-1:15pm,CLSSRM 102,18-DEC 18-DEC,"Guo, Qinghua"
30482,ENGR-180-03L,Spatial Analysis and Modeling,0,LAB,T,6:00-7:50pm,SCIENG 160,28-AUG 12-DEC,"Flanagan, Jacob"
30483,ENGR-191-01,Professional Seminar,1,SEM,M,12:30-1:20pm,SCIENG 160,28-AUG 12-DEC,"Chuang, Abel"
30488,ENGR-197-01,Engr Service LearningMust Also Register for Corresponding Field Work,0,LECT,M,8:30-9:20am,SSB 130,28-AUG 12-DEC,"Butler, Christopher"
30489,ENGR-197-02F,NISE Net,1,FLDW,R,8:30-10:20am,CLSSRM 105,18-DEC 18-DEC,"Leppert, Valerie"
30490,ENGR-197-03F,Get S.E.T,1,FLDW,R,4:30-6:20pm,CLSSRM 102,18-DEC 18-DEC,"Viney, Christopher"
30491,ENGR-197-04F,Vernal Pool Reserve (VPR),1,FLDW,R,2:30-4:20pm,SE2 165,28-AUG 12-DEC,"Conklin, Martha"
31449,ENGR-197-05F,San Joaquin River (SJR),1,FLDW,R,10:30-12:20pm,SE2 165,28-AUG 12-DEC,"Harmon, Tom"
34311,ENGR-197-06F,Engineer for Sustainable World,1,FLDW,M,8:00-9:50pm,CLSSRM 116,28-AUG 12-DEC,"Campbell, Elliott"
34907,ENGR-197-07F,Unmanned Aerial Vehicle Team,1,FLDW,T,2:00-3:50pm,SSM 104,28-AUG 12-DEC,"Chen, YangQuan"
34908,ENGR-197-08F,Community Developmnt Analytics,1,FLDW,M,12:00-1:50pm,CLSSRM 102,17-DEC 17-DEC,"Whalley, Alexander"
35337,ENGR-197-09F,Instructional Lab 1,1,FLDW,T,4:00-5:50pm,SSB 120,28-AUG 12-DEC,"Goyal, Sachin"
35341,ENGR-197-10F,Merit Partners,1,FLDW,F,3:00-4:50pm,SE2 160,28-AUG 12-DEC,"Golash-Boza, Tanya"
35343,ENGR-197-11F,Instructional Lab 2,1,FLDW,R,12:30-2:20pm,SE2 160,28-AUG 12-DEC,"Diaz, Gerardo"
30492,ENVE-010-01,Environment in CrisisMust Also Register for a Corresponding Lab,4,LECT,TR,10:30-11:45am,CLSSRM 102,13-DEC 13-DEC,"Sullivan, Lynn"
30493,ENVE-010-02L,Environment in Crisis,0,LAB,W,8:00-10:50am,CLSSRM 116,28-AUG 12-DEC,"Tham, Christina"
31077,ENVE-010-03L,Environment in Crisis,0,LAB,F,8:00-10:50am,SSB 130,28-AUG 12-DEC,"Tham, Christina"
30494,ENVE-100-01,Environmental ChemistryMust Also Register for a Corresponding Lab,4,LECT,TR,9:00-10:15am,KOLLIG 202,28-AUG 12-DEC,"Conklin, Martha"
30495,ENVE-100-02L,Environmental Chemistry,0,LAB,M,1:00-3:50pm,,28-AUG 12-DEC,"Lopez, Vivian"
30819,ENVE-100-03L,Environmental Chemistry,0,LAB,W,1:00-3:50pm,CLSSRM 120,28-AUG 12-DEC,"Lopez, Vivian"
34922,ENVE-100-04L,Environmental Chemistry,0,LAB,F,1:00-3:50pm,CLSSRM 102,13-DEC 13-DEC,"Lucas, Ryan"
34923,ENVE-105-01,Environmental Data Analysis,3,LECT,TR,4:30-5:45pm,,28-AUG 12-DEC,"Viers, Joshua"
30497,ENVE-110-01,Hydrology and Climate,4,LECT,MW,10:30-12:20pm,SCIENG 160,28-AUG 12-DEC,"Villamizar Amaya, Sandra"
34924,ENVE-116-01,Applied Climatology,3,LECT,M,12:30-2:50pm,SCIENG 160,28-AUG 12-DEC,"Westerling, Anthony"
30496,ENVE-130-01,Meteorology and Air Pollution,4,LECT,TR,10:30-12:20pm,CLSSRM 102,13-DEC 13-DEC,"Rogge, Wolfgang"
31213,ENVE-152-01,Remote Sensing of EnvironmentMust Also Register for a Corresponding Lab,4,LECT,TR,1:30-2:45pm,SCIENG 160,28-AUG 12-DEC,"Guo, Qinghua"
31214,ENVE-152-02L,Remote Sensing of Environment,0,LAB,F,3:30-5:20pm,SCIENG 160,28-AUG 12-DEC,"Ma, Qin"
31070,ENVE-182-01,Field Meth in Surface Hydro,2,LECT,F,11:00-12:50pm,SCIENG 160,28-AUG 12-DEC,"Conklin, Martha"
34925,ENVE-190-01,ENVE Capstone DesignMust Also Register for a Corresponding Lab,3,LECT,W,12:30-1:20pm,,28-AUG 12-DEC,"Orfi, Nihal"
34926,ENVE-190-02L,ENVE Capstone Design,0,LAB,MW,2:30-5:20pm,SCIENG 160,28-AUG 12-DEC,"Orfi, Nihal"
35184,ES-205-01,Watershed Biogeochemistry,3,LECT,MW,3:00-4:15pm,KOLLIG 209,28-AUG 12-DEC,"Fogel, Marilyn"
34850,ES-207-01,Environmental Data Analysis,3,LECT,TR,4:30-5:45pm,CLSSRM 102,15-DEC 15-DEC,"Viers, Joshua"
35377,ES-214-01,Mount Hydro of the Western USClass will meet in SCIENG 202,3,LECT,MW,10:00-12:20pm,SE2 130,28-AUG 03-SEP,"Bales, Roger"
34851,ES-232-01,Applied Climatology,3,LECT,W,12:30-2:50pm,SE2 130,28-AUG 05-SEP,"Westerling, Anthony"
30634,ES-234-01,Air Pollution and Resources,3,LECT,TR,10:30-12:20pm,SSB 120,28-AUG 12-DEC,"Rogge, Wolfgang"
35144,ES-246-01,Community Ecology,3,LECT,MW,9:30-10:45am,SSB 170,18-DEC 18-DEC,"Blois, Jessica"
34852,ES-248-01,Advanced Topics in Ecology,3,LECT,TR,9:00-10:15am,SE2 130,28-AUG 12-DEC,"Hart, Steve"
31215,ES-252-01,Remote Sensing of the EnvironMust Also Register for a Corresponding Lab,4,LECT,TR,1:30-2:45pm,SE2 130,28-AUG 12-DEC,"Guo, Qinghua"
31216,ES-252-02L,Remote Sensing of the Environ,0,LAB,F,3:30-5:20pm,CLSSRM 102,18-DEC 18-DEC,"Ma, Qin"
30498,ES-291-01,Environmental Systems Seminar,1,SEM,W,4:30-6:20pm,CLSSRM 263,28-AUG 12-DEC,"Sexton, Jason"
34264,ES-292-01,Field Meth in Surface Hydro,2,LECT,F,11:00-12:50pm,KOLLIG 208,28-AUG 12-DEC,"Conklin, Martha"
34853,ES-292-02,Fundamentals of EcologyMust Also Register for a Corresponding DiscussionStudents will participate in an overnight field trip. Moredetails will be provided during the first week of class,4,LECT,TR,10:30-11:45am,CLSSRM 102,18-DEC 18-DEC,"Hart, Steve"
35381,ES-292-03D,Fundamentals of Ecology,0,DISC,W,2:30-3:20pm,CLSSRM 265,28-AUG 12-DEC,"Gilbert, Richard"
35386,ES-292-04D,Fundamentals of Ecology,0,DISC,W,1:30-2:20pm,CLSSRM 267,28-AUG 12-DEC,"Gilbert, Richard"
30502,ES-292-06,Environmental Chemistry,4,LECT,TR,9:00-10:15am,CLSSRM 116,13-DEC 13-DEC,"Conklin, Martha"
35263,ES-292-07,Fund of Atmospheric Modeling,3,LECT,TR,3:00-4:15pm,KOLLIG 202,28-AUG 12-DEC,"Campbell, Elliott"
31403,ES-292-30,Spatial Analysis and ModelingMust Also Register for a Corresponding Lab,4,LECT,TR,12:00-1:15pm,SE2 130,28-AUG 12-DEC,"Guo, Qinghua"
31405,ES-292-32L,Spatial Analysis and Modeling,0,LAB,T,6:00-7:50pm,CLSSRM 279,28-AUG 12-DEC,"Flanagan, Jacob"
34854,ESS-001-01,Intro to Earth Sys SciMust Also Register for a Corresponding Discussion,4,LECT,MW,3:00-4:15pm,CLSSRM 272,17-DEC 17-DEC,"Beman, Michael / ODay, Peggy"
34855,ESS-001-02D,Intro to Earth Sys Sci,0,DISC,M,10:30-11:20am,CLSSRM 267,28-AUG 12-DEC,"Nye, Jonathan"
34856,ESS-001-03D,Intro to Earth Sys Sci,0,DISC,M,11:30-12:20pm,CLSSRM 113,19-DEC 19-DEC,"Nye, Jonathan"
30577,ESS-002-01,Sustainability ScienceMust Also Register for a Corresponding Discussion,4,LECT,TR,3:00-4:15pm,KOLLIG 208,28-AUG 12-DEC,"Ghezzehei, Teamrat"
30578,ESS-002-02D,Sustainability Science,0,DISC,R,6:00-6:50pm,SSB 170,18-DEC 18-DEC,"Austin, Paige"
30579,ESS-002-03D,Sustainability Science,0,DISC,R,7:00-7:50pm,CLSSRM 265,28-AUG 12-DEC,"Austin, Paige"
30580,ESS-002-04D,Sustainability Science,0,DISC,R,8:00-8:50pm,KOLLIG 396,28-AUG 12-DEC,"Araya, Samuel"
31161,ESS-002-05D,Sustainability ScienceRecommended for students interested inEarth Systems Science majoror Environmental Science & Sustainability minor.,0,DISC,W,3:30-4:20pm,CLSSRM 263,28-AUG 12-DEC,"Araya, Samuel"
34858,ESS-020-01,Fundamentals of GeologyMust Also Register For a Corresponding Lab,4,LECT,TR,1:30-2:45pm,CLSSRM 267,28-AUG 12-DEC,"ODay, Peggy"
34859,ESS-020-02L,Fundamentals of Geology,0,LAB,T,10:30-1:15pm,CLSSRM 127,13-DEC 13-DEC,"Jian, Mathew"
